X,Y,Z,X,Y,Z,X,Y,Z
13737.87,3310512.18,270.348,13736.299,3310502.281,269.159,13737.385,3310502.184,270.249
13737.662,3310520.881,269.874,13736.892,3310512.268,269.366,13737.944,3310520.662,270.174
13737.944,3310520.662,270.174,13736.892,3310512.268,269.366,13737.19,3310512.241,269.666
13737.944,3310520.662,270.174,13737.19,3310512.241,269.666,13738.317,3310520.372,270.647
13738.317,3310520.372,270.647,13737.19,3310512.241,269.666,13737.87,3310512.18,270.348
13748.501,3310525.319,270.704,13737.662,3310520.881,269.874,13749.064,3310524.881,270.404
13749.064,3310524.881,270.404,13737.662,3310520.881,269.874,13737.944,3310520.662,270.174
13749.064,3310524.881,270.404,13737.944,3310520.662,270.174,13749.346,3310524.662,270.704
13749.346,3310524.662,270.704,13737.944,3310520.662,270.174,13738.317,3310520.372,270.647
13749.346,3310524.662,270.704,13738.317,3310520.372,270.647,13751.053,3310523.334,272.867
13726.685,3310528.241,270.548,13726.32,3310523.254,270.213,13726.973,3310528.215,270.259
13726.973,3310528.215,270.259,13726.32,3310523.254,270.213,13726.528,3310523.235,270.004
13726.528,3310523.235,270.004,13726.32,3310523.254,270.213,13725.636,3310513.275,269.496
